Job,Operation,Machine,Start,Duration,End
1,1,3,27,4,31
1,2,5,31,3,34
1,3,6,10,2,12
1,4,6,5,5,10
1,5,3,34,1,35
1,6,4,24,3,27
2,1,2,27,6,33
2,2,3,8,1,9
2,3,1,1,2,3
2,4,4,18,6,24
2,5,1,0,1,1
3,1,2,8,6,14
3,2,6,3,2,5
3,3,1,14,1,15
3,4,3,23,4,27
3,5,1,5,1,6
4,1,1,15,1,16
4,2,2,2,6,8
4,3,3,13,1,14
4,4,5,16,3,19
4,5,6,0,2,2
5,1,2,20,1,21
5,2,1,3,1,4
5,3,2,33,6,39
5,4,1,21,5,26
5,5,4,27,6,33
5,6,3,9,4,13
6,1,6,20,2,22
6,2,1,6,2,8
6,3,3,0,4,4
6,4,2,14,6,20
6,5,1,8,1,9
6,6,4,37,2,39
7,1,6,37,1,38
7,2,4,35,2,37
7,3,3,4,4,8
7,4,5,23,1,24
7,5,3,22,1,23
8,1,6,12,2,14
8,2,3,14,4,18
8,3,1,9,1,10
8,4,2,21,6,27
8,5,4,0,6,6
9,1,6,28,1,29
9,2,1,35,1,36
9,3,6,22,6,28
9,4,1,36,2,38
9,5,6,29,6,35
9,6,4,12,6,18
10,1,6,35,2,37
10,2,3,18,4,22
10,3,2,39,1,40
10,4,6,2,1,3
10,5,4,6,6,12
10,6,4,33,2,35
