Job,Operation,Machine,Start,Duration,End
1,1,1,46800,5400,52200
1,2,2,54900,4620,59520
1,3,3,115200,1980,117180
1,4,4,117180,600,117780
1,5,5,125880,1080,126960
2,1,1,40800,720,41520
2,2,2,51480,3420,54900
2,3,3,54900,4620,59520
2,4,4,115200,1140,116340
2,5,5,120240,5640,125880
3,1,1,52200,2580,54780
3,2,2,59520,1440,60960
3,3,3,117180,2580,119760
3,4,4,119760,3720,123480
3,5,5,126960,2160,129120
4,1,1,57900,3180,61080
4,2,2,120900,1620,122520
4,3,3,123060,2220,125280
4,4,4,125280,720,126000
4,5,5,129120,180,129300
5,1,1,32760,1080,33840
5,2,2,35340,3360,38700
5,3,3,46800,2940,49740
5,4,4,49740,480,50220
5,5,5,51300,4380,55680
6,1,1,32160,600,32760
6,2,2,34140,1200,35340
6,3,3,35340,5220,40560
6,4,4,40560,2460,43020
6,5,5,46800,4500,51300
7,1,1,28800,3360,32160
7,2,2,32160,1980,34140
7,3,3,34140,300,34440
7,4,4,34440,960,35400
7,5,5,35400,5880,41280
8,1,1,54780,3120,57900
8,2,2,115200,5700,120900
8,3,3,120900,2160,123060
8,4,4,123480,1080,124560
8,5,5,133200,4860,138060
9,1,1,39420,1380,40800
9,2,2,46800,4680,51480
9,3,3,51480,1800,53280
9,4,4,55680,4680,60360
9,5,5,115200,5040,120240
10,1,1,33840,5580,39420
10,2,2,39420,3660,43080
10,3,3,49740,840,50580
10,4,4,50580,5100,55680
10,5,5,55680,5340,61020
