Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,12,2,14,None
1,2,4,19,4,23,None
1,3,8,23,2,25,None
2,1,2,5,5,10,None
2,2,4,13,3,16,None
2,3,6,16,3,19,None
3,1,3,4,4,8,None
3,2,5,13,2,15,None
3,3,8,16,2,18,None
4,1,2,0,3,3,None
4,2,5,3,5,8,None
4,3,6,10,3,13,None
5,1,1,8,4,12,None
5,2,5,19,1,20,None
5,3,7,20,4,24,None
6,1,3,0,4,4,None
6,2,4,6,2,8,None
6,3,7,8,3,11,None
7,1,2,3,2,5,None
7,2,4,9,4,13,None
7,3,8,13,3,16,None
8,1,1,5,3,8,None
8,2,5,8,5,13,None
8,3,7,13,3,16,None
9,1,1,3,2,5,None
9,2,4,8,1,9,None
9,3,9,9,5,14,None
10,1,1,0,3,3,None
10,2,4,3,3,6,None
10,3,6,6,4,10,None
11,1,2,10,2,12,None
11,2,4,16,3,19,None
11,3,9,19,5,24,None
12,1,3,8,4,12,None
12,2,5,15,4,19,None
12,3,6,19,3,22,None
