Job,Operation,Machine,Start,Duration,End
1,1,3,47,1,48
1,2,1,41,3,44
1,3,2,23,6,29
1,4,4,16,7,23
1,5,6,13,3,16
1,6,5,0,6,6
2,1,2,47,8,55
2,2,3,42,5,47
2,3,5,30,10,40
2,4,6,16,10,26
2,5,1,5,10,15
2,6,4,1,4,5
3,1,3,48,5,53
3,2,4,44,4,48
3,3,6,36,8,44
3,4,1,27,9,36
3,5,2,13,1,14
3,6,5,6,7,13
4,1,2,42,5,47
4,2,1,36,5,41
4,3,3,28,5,33
4,4,4,25,3,28
4,5,5,17,8,25
4,6,6,0,9,9
5,1,3,33,9,42
5,2,2,30,3,33
5,3,5,25,5,30
5,4,6,9,4,13
5,5,1,1,3,4
5,6,4,0,1,1
6,1,2,39,3,42
6,2,4,36,3,39
6,3,6,27,9,36
6,4,1,17,10,27
6,5,5,13,4,17
6,6,3,0,1,1
