Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,7,1,8,None
1,2,1,13,3,16,None
1,3,2,30,6,36,None
1,4,4,36,7,43,None
1,5,6,43,3,46,None
1,6,5,49,6,55,None
2,1,2,0,8,8,None
2,2,3,8,5,13,None
2,3,5,15,10,25,None
2,4,6,29,10,39,None
2,5,1,40,10,50,None
2,6,4,50,4,54,None
3,1,3,2,5,7,None
3,2,4,8,4,12,None
3,3,6,12,8,20,None
3,4,1,21,9,30,None
3,5,2,37,1,38,None
3,6,5,38,7,45,None
4,1,2,11,5,16,None
4,2,1,16,5,21,None
4,3,3,22,5,27,None
4,4,4,27,3,30,None
4,5,5,30,8,38,None
4,6,6,46,9,55,None
5,1,3,13,9,22,None
5,2,2,22,3,25,None
5,3,5,25,5,30,None
5,4,6,39,4,43,None
5,5,1,51,3,54,None
5,6,4,54,1,55,None
6,1,2,8,3,11,None
6,2,4,17,3,20,None
6,3,6,20,9,29,None
6,4,1,30,10,40,None
6,5,5,45,4,49,None
6,6,3,54,1,55,None
