Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,57,1,58,None
1,2,1,51,3,54,None
1,3,2,45,6,51,None
1,4,4,38,7,45,None
1,5,6,35,3,38,None
1,6,5,29,6,35,None
2,1,2,51,8,59,None
2,2,3,45,5,50,None
2,3,5,35,10,45,None
2,4,6,25,10,35,None
2,5,1,15,10,25,None
2,6,4,3,4,7,None
3,1,3,52,5,57,None
3,2,4,48,4,52,None
3,3,6,40,8,48,None
3,4,1,31,9,40,None
3,5,2,30,1,31,None
3,6,5,22,7,29,None
4,1,2,31,5,36,None
4,2,1,25,5,30,None
4,3,3,20,5,25,None
4,4,4,17,3,20,None
4,5,5,9,8,17,None
4,6,6,0,9,9,None
5,1,3,25,9,34,None
5,2,2,22,3,25,None
5,3,5,17,5,22,None
5,4,6,11,4,15,None
5,5,1,1,3,4,None
5,6,4,0,1,1,None
6,1,2,27,3,30,None
6,2,4,24,3,27,None
6,3,6,15,9,24,None
6,4,1,5,10,15,None
6,5,5,1,4,5,None
6,6,3,0,1,1,None
