Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,20,1,21,None
1,2,1,22,3,25,None
1,3,2,26,6,32,None
1,4,4,41,7,48,None
1,5,6,50,3,53,None
1,6,5,53,6,59,None
2,1,2,3,8,11,None
2,2,3,12,5,17,None
2,3,5,17,10,27,None
2,4,6,27,10,37,None
2,5,1,44,10,54,None
2,6,4,54,4,58,None
3,1,3,7,5,12,None
3,2,4,15,4,19,None
3,3,6,19,8,27,None
3,4,1,35,9,44,None
3,5,2,44,1,45,None
3,6,5,46,7,53,None
4,1,2,11,5,16,None
4,2,1,16,5,21,None
4,3,3,21,5,26,None
4,4,4,26,3,29,None
4,5,5,29,8,37,None
4,6,6,37,9,46,None
5,1,3,29,9,38,None
5,2,2,38,3,41,None
5,3,5,41,5,46,None
5,4,6,46,4,50,None
5,5,1,55,3,58,None
5,6,4,58,1,59,None
6,1,2,0,3,3,None
6,2,4,6,3,9,None
6,3,6,10,9,19,None
6,4,1,25,10,35,None
6,5,5,37,4,41,None
6,6,3,51,1,52,None
