Job,Operation,Machine,Start,Duration,End
1,1,4,24,45,69
1,2,2,69,38,107
1,3,3,125,43,168
1,4,1,168,33,201
2,1,2,0,46,46
2,2,1,87,42,129
2,3,4,129,41,170
2,4,5,170,29,199
3,1,1,23,35,58
3,2,5,58,52,110
3,3,2,153,54,207
3,4,1,207,0,207
4,1,3,0,45,45
4,2,4,69,54,123
4,3,5,123,46,169
4,4,7,169,47,216
4,5,2,216,0,216
5,1,5,0,42,42
5,2,3,88,37,125
5,3,2,125,28,153
6,1,1,0,23,23
6,2,6,23,28,51
6,3,1,129,25,154
6,4,3,168,45,213
7,1,3,45,43,88
7,2,6,119,47,166
7,3,4,170,48,218
7,4,6,218,0,218
8,1,4,0,24,24
8,2,1,58,29,87
8,3,6,87,32,119
8,4,7,119,27,146
