Job,Operation,Machine,Start,Duration,End
1,1,3,14,1,15
1,2,1,15,3,18
1,3,2,20,6,26
1,4,4,26,7,33
1,5,6,33,3,36
1,6,5,47,6,53
2,1,2,12,8,20
2,2,3,20,5,25
2,3,5,25,10,35
2,4,6,36,10,46
2,5,1,46,10,56
2,6,4,56,4,60
3,1,3,9,5,14
3,2,4,14,4,18
3,3,6,21,8,29
3,4,1,34,9,43
3,5,2,43,1,44
3,6,5,53,7,60
4,1,2,3,5,8
4,2,1,8,5,13
4,3,3,15,5,20
4,4,4,20,3,23
4,5,5,39,8,47
4,6,6,47,9,56
5,1,3,0,9,9
5,2,2,9,3,12
5,3,5,12,5,17
5,4,6,17,4,21
5,5,1,21,3,24
5,6,4,24,1,25
6,1,2,0,3,3
6,2,4,3,3,6
6,3,6,6,9,15
6,4,1,24,10,34
6,5,5,35,4,39
6,6,3,39,1,40
